04-12 16:53:50.453   12013-13587   C01711/CONTINUOUS_TASK          com.opens...is.music  I     [StartBackgroundRunningExecuteCB:301] notification -1, continuousTaskId 7
04-12 16:53:50.455   12013-12013   A03d00/JSAPP                    com.opens...is.music  I     startBackgroundTask succeeded: notificationId=-1, slotType=4, contentType=8
04-12 16:53:50.498   12013-12013   C02b91/AVSession                com.opens...is.music  I     [Enqueue]name=SetAVPlayback
04-12 16:53:50.499   12013-13836   C02b91/AVSession                com.opens...is.music  I     [SetAVPlaybackState]SetAVPlaybackState:2.
04-12 16:53:50.598   12013-12013   C02b91/AVSession                com.opens...is.music  I     [Enqueue]name=SetAVPlayback
04-12 16:53:50.598   12013-13836   C02b91/AVSession                com.opens...is.music  I     [SetAVPlaybackState]SetAVPlaybackState:2.
04-12 16:53:52.009   12013-13894   C01719/ffrt                     com.opens...is.music  W     9:RecordSymbolAndBacktrace:397 Process:com.opensource.metis.music,Tid:13539,Qos:2,CWorker:5,EWorker:1,SWorker:4,TaskType:0,timeout:10s
04-12 16:53:52.010   12013-13894   C01719/ffrt                     com.opens...is.music  W     10:RecordSymbolAndBacktrace:405 Tid:13539, Name:OS_FFRT_2_0
                                                                                               #00 pc 000000000016b378 /lib/ld-musl-aarch64.so.1
                                                                                               #01 pc 000000000005a7c8 /system/lib64/libpreload_native_rust.z.so
                                                                                               #02 pc 000000000005a564 /system/lib64/libpreload_native_rust.z.so
                                                                                               #03 pc 00000000000508f8 /system/lib64/libpreload_native_rust.z.so
                                                                                               #04 pc 00000000000bfd04 /system/lib64/ndk/libffrt.so
                                                                                               #05 pc 0000000000077900 /system/lib64/ndk/libffrt.so
04-12 16:53:53.181   12013-12013   C02805/ClientMsgHandler         com.opens...is.music  W     [K:D:322][OnKeyEvent:158] The client receives a key, Fd:42
04-12 16:53:53.181   12013-12013   C02805/InputManagerImpl         com.opens...is.music  I     [K:D:322][OnKeyEvent:582] id:322 recv
04-12 16:53:53.181   12013-12013   C04213/InputKeyFlow             com.opens...is.music  I     HandleInputEvent: eid:0,InputId:322,wid:44
04-12 16:53:53.181   12013-12013   C0420c/WMSEvent                 com.opens...is.music  I     HandleKeyEvent: DispatchKeyEvent ret:48, id:322
04-12 16:53:53.181   12013-12013   C0420c/WMSEvent                 com.opens...is.music  I     DispatchKeyEventCallback: id: 322, consumed: 0,escTrigger: 0, escDown: 0
04-12 16:53:53.196   12013-13535   C0420a/WMSLife                  com.opens...is.music  I     NotifyLifecyclePausedStatus: in
04-12 16:53:53.196   12013-13535   C0420a/WMSLife                  com.opens...is.music  I     NotifyAfterLifecyclePaused: in
04-12 16:53:53.197   12013-13535   C04207/WMSFocus                 com.opens...is.music  I     UpdateFocusState: focus: 0, id: 44
04-12 16:53:53.197   12013-13535   C03900/Ace                      com.opens...is.music  I     [(-1:100000:singleton)] [com.opensource.metis.music][entry][100000]: window unfocus
04-12 16:53:53.198   12013-13535   C04207/WMSFocus                 com.opens...is.music  I     NotifyHighlightChange: windowId: 44, isHighlight: 0,
04-12 16:53:53.198   12013-13535   C03900/Ace                      com.opens...is.music  I     [(-1:100000:singleton)] [com.opensource.metis.music][entry][100000]:window unactive
04-12 16:53:53.200   12013-13535   C01332/UIAbility                com.opens...is.music  I     [ui_ability_thread317]name:EntryAbility,targeState:6,isNewWant:0
04-12 16:53:53.202   12013-12013   C03900/Ace                      com.opens...is.music  I     [(100000:100000:scope)] Update application state , state: ON_INACTIVE
04-12 16:53:53.202   12013-12013   C0391c/AceFocus                 com.opens...is.music  I     [(100000:100000:scope)] Window: 44 lost focus.
04-12 16:53:53.202   12013-12013   C0391d/AceMouse                 com.opens...is.music  I     [(100000:100000:scope)] VsyncMouseFormat mouseFormat_ and lastVsyncMouseFormat_ = 0 is same.
